dataset_id,number_of_citations
ds000247,4.0
ds000248,3.0
ds001787,9.0
ds001810,6.0
ds001849,1.0
ds001785,2.0
ds000117,79.0
ds000246,1.0
ds002034,7.0
ds001868,0.0
ds002001,4.0
ds001784,1.0
ds002094,31.0
ds002312,0.0
ds002181,1.0
ds001971,1.0
ds002550,1.0
ds002338,12.0
ds002578,1.0
ds002218,1.0
ds002691,2.0
ds002336,5.0
ds002720,2.0
ds002158,1.0
ds002712,1.0
ds002718,13.0
ds002723,2.0
ds002680,6.0
ds002761,1.0
ds002724,2.0
ds002722,3.0
ds002799,11.0
ds002791,0.0
ds002778,61.0
ds002814,4.0
ds002721,13.0
ds002893,1.0
ds002908,1.0
ds002844,0.0
ds002725,3.0
ds002885,1.0
ds003039,2.0
ds003061,5.0
ds002833,0.0
ds003004,8.0
ds003078,1.0
ds003082,5.0
ds003190,4.0
ds003195,3.0
ds003194,3.0
ds003029,23.0
ds003374,4.0
ds003343,1.0
ds003380,0.0
ds003420,2.0
ds003421,3.0
ds003352,4.0
ds003458,0.0
ds003474,9.0
ds003392,0.0
ds003498,5.0
ds003104,0.0
ds003505,6.0
ds003483,3.0
ds003478,35.0
ds003490,15.0
ds003509,7.0
ds003516,3.0
ds003517,5.0
ds003519,3.0
ds003522,5.0
ds003523,0.0
ds003518,0.0
ds003552,0.0
ds003568,7.0
ds003574,2.0
ds003602,0.0
ds003555,10.0
ds003565,3.0
ds003570,1.0
ds003633,1.0
ds003626,7.0
ds003638,1.0
ds003670,7.0
ds003620,4.0
ds003645,3.0
ds003690,6.0
ds003655,5.0
ds003688,11.0
ds003702,4.0
ds003506,4.0
ds003710,0.0
ds003703,1.0
ds003694,1.0
ds003708,1.0
ds003682,2.0
ds003751,7.0
ds003766,1.0
ds003768,0.0
ds003722,0.0
ds003774,6.0
ds003739,5.0
ds003775,14.0
ds003800,4.0
ds003810,0.0
ds003801,2.0
ds003753,0.0
ds003844,0.0
ds003805,3.0
ds003825,3.0
ds003876,3.0
ds003822,0.0
ds003887,3.0
ds003848,1.0
ds003922,1.0
ds003947,9.0
ds003944,7.0
ds003885,2.0
ds003969,8.0
ds003987,1.0
ds004000,9.0
ds003816,2.0
ds004011,1.0
ds003846,5.0
ds004010,0.0
ds004017,1.0
ds004015,0.0
ds004019,0.0
ds004012,1.0
ds004022,2.0
ds004033,2.0
ds004040,2.0
ds004024,1.0
ds004075,1.0
ds004018,0.0
ds004080,3.0
ds004043,1.0
ds004100,26.0
ds004105,0.0
ds004067,1.0
ds004107,2.0
ds004106,0.0
ds004118,0.0
ds004078,6.0
ds004117,2.0
ds004120,0.0
ds004119,0.0
ds004123,0.0
ds004121,0.0
ds004148,16.0
ds004151,2.0
ds004166,0.0
ds004127,1.0
ds004152,2.0
ds004147,2.0
ds004229,0.0
ds004200,1.0
ds004186,0.0
ds004212,4.0
ds004262,1.0
ds004256,1.0
ds004252,1.0
ds004122,0.0
ds004276,3.0
ds004279,2.0
ds004284,0.0
ds004278,0.0
ds004264,0.0
ds004324,0.0
ds004295,2.0
ds004317,1.0
ds004346,0.0
ds004315,1.0
ds004347,0.0
ds004306,2.0
ds004357,3.0
ds004356,2.0
ds004362,4.0
ds004350,2.0
ds004330,2.0
ds004368,0.0
ds004370,1.0
ds004348,2.0
ds004389,0.0
ds004369,0.0
ds004367,0.0
ds004381,0.0
ds004398,0.0
ds004408,0.0
ds004388,4.0
ds004446,0.0
ds004448,0.0
ds004395,8.0
ds004457,0.0
ds004460,0.0
ds004473,0.0
ds004444,1.0
ds004447,1.0
ds004475,2.0
ds004477,0.0
ds004483,0.0
ds004502,0.0
ds004505,0.0
ds004511,0.0
ds004504,0.0
ds004517,0.0
ds004520,0.0
ds004519,0.0
ds004521,0.0
ds004532,0.0
ds004551,0.0
ds004514,3.0
ds004561,3.0
ds004554,0.0
ds004572,0.0
ds004563,2.0
ds004577,0.0
ds004580,0.0
ds004579,0.0
ds004574,1.0
ds004587,1.0
ds004595,1.0
ds004584,5.0
ds004588,0.0
ds004515,0.0
ds004598,1.0
ds004602,5.0
ds004621,0.0
ds004624,0.0
ds004625,0.0
ds004582,0.0
ds004635,0.0
ds004642,0.0
ds004657,0.0
ds004603,1.0
ds004660,2.0
ds004626,1.0
ds004661,0.0
ds004703,0.0
ds004696,0.0
ds004706,0.0
ds004738,1.0
ds004718,0.0
ds004752,0.0
ds004771,0.0
ds004770,0.0
ds004774,0.0
ds004745,0.0
ds004785,0.0
ds004784,0.0
ds004796,0.0
ds004789,5.0
ds004802,0.0
ds004816,0.0
ds004809,0.0
ds004819,0.0
ds004817,0.0
ds004842,0.0
ds004843,0.0
ds004841,0.0
ds004840,2.0
ds004849,0.0
ds004844,0.0
ds004850,0.0
ds004837,0.0
ds004853,0.0
ds004852,0.0
ds004854,0.0
ds004865,0.0
ds004855,0.0
ds004859,0.0
ds004851,0.0
ds004902,0.0
ds004883,0.0
ds004944,0.0
ds004942,1.0
ds004860,1.0
ds004977,0.0
ds004952,0.0
ds004980,0.0
ds004993,0.0
ds004951,1.0
ds004998,0.0
ds004995,0.0
ds005007,0.0
ds005028,0.0
ds005034,0.0
ds005021,0.0
ds005059,0.0
ds005065,0.0
ds005083,0.0
ds005079,1.0
ds005087,1.0
ds005048,3.0
ds005089,0.0
ds005095,0.0
ds005107,0.0
ds005121,0.0
ds005106,1.0
ds005131,0.0
ds005114,0.0
ds005170,0.0
ds005169,1.0
ds005178,0.0
ds005185,0.0
ds005234,0.0
ds005241,0.0
ds005261,0.0
ds005262,0.0
ds005273,0.0
ds005274,0.0
ds005296,0.0
ds005279,0.0
ds005207,0.0
ds005305,0.0
ds005307,0.0
ds005189,0.0
ds005340,0.0
ds005343,0.0
ds005345,0.0
ds005383,0.0
ds005356,0.0
ds005363,0.0
ds005342,1.0
ds005385,0.0
ds005398,0.0
ds005406,0.0
ds005407,0.0
ds005410,0.0
ds005411,0.0
ds005415,0.0
ds005416,0.0
ds005397,1.0
ds005420,0.0
ds005403,3.0
ds005429,0.0
ds005486,0.0
ds005494,0.0
ds005491,0.0
ds005505,0.0
ds005489,0.0
ds005507,0.0
ds005508,0.0
ds005506,2.0
ds005510,0.0
ds005512,0.0
ds005516,69.0
ds005514,1.0
ds005522,0.0
ds005511,2.0
ds005515,0.0
ds005509,2.0
ds005523,0.0
ds005530,0.0
ds005540,0.0
ds005557,0.0
ds005545,0.0
ds005555,0.0
ds005565,1.0
ds005574,0.0
ds005558,0.0
ds005586,0.0
ds005592,0.0
ds005594,0.0
ds005620,0.0
ds005648,0.0
ds005628,0.0
ds005670,0.0
ds005520,0.0
ds005624,1.0
ds005688,0.0
ds005672,3.0
ds005691,0.0
ds005692,0.0
ds005697,0.0
ds005779,0.0
ds005795,0.0
ds005787,0.0
ds005810,0.0
ds005811,0.0
ds005815,0.0
ds005863,0.0
ds005866,0.0
ds005868,0.0
ds005876,0.0
ds005907,0.0
ds005857,0.0
ds005931,0.0
ds005873,2.0
ds005953,0.0
ds005946,0.0
ds006012,0.0
ds006018,0.0
ds006035,0.0
ds005960,1.0
ds006036,0.0
ds006040,0.0
ds006065,0.0
ds005841,1.0
ds006104,0.0
ds006107,0.0
ds006126,0.0
ds006095,0.0
ds006142,0.0
ds006159,0.0
ds006171,0.0
ds006233,0.0
ds006234,0.0
ds006317,0.0
ds006269,0.0
ds006334,0.0
ds006253,0.0
ds006370,0.0
ds006260,1.0
ds006392,0.0
ds006366,0.0
ds006367,0.0
