dataset_id,number_of_citations
ds004841,0
ds004770,2
ds004561,2
ds000247,3
ds003753,0
ds003420,1
ds005028,0
ds004010,0
ds004148,4
ds004840,0
ds004855,0
ds004718,0
ds002725,2
ds004362,0
ds004408,0
ds004796,1
ds002550,0
ds004511,2
ds002181,1
ds002893,1
ds003682,1
ds004817,0
ds000248,4
ds003190,3
ds004819,1
ds003822,0
ds003670,6
ds003754,0
ds004554,0
ds005048,0
ds004574,1
ds004852,0
ds004357,2
ds003082,5
ds004519,3
ds004602,2
ds004784,1
ds004151,0
ds003800,4
ds003846,2
ds002799,8
ds004024,1
ds003694,1
ds004350,0
ds004105,0
ds004771,2
ds003518,0
ds004785,0
ds003702,4
ds004577,0
ds004127,1
ds003574,1
ds004703,1
ds004398,1
ds003523,3
ds004212,2
ds004347,0
ds004588,1
ds001787,5
ds003505,5
ds003568,4
ds004504,21
ds003703,1
ds004370,1
ds003987,1
ds004865,0
ds004078,3
ds003392,0
ds004317,1
ds004122,0
ds004851,0
ds004118,0
ds004033,2
ds004011,1
ds003876,3
ds004166,1
ds004330,1
ds004256,0
ds004315,1
ds003474,6
ds002034,7
ds003509,3
ds004186,1
ds003825,3
ds004121,0
ds004635,2
ds003516,2
ds004942,0
ds004348,0
ds003633,1
ds004598,0
ds003195,2
ds004473,1
ds002908,1
ds004621,0
ds003848,1
ds004625,0
ds002336,4
ds004043,1
ds003517,5
ds004368,0
ds004584,1
ds004012,0
ds003374,4
ds003506,1
ds004284,1
ds004738,1
ds004849,0
ds003570,1
ds003490,8
ds002720,2
ds002094,29
ds002833,0
ds002218,1
ds000117,73
ds004120,0
ds004119,0
ds004117,1
ds005021,0
ds004194,4
ds004264,0
ds004215,4
ds004446,1
ds002722,3
ds004457,3
ds004505,4
ds004853,0
ds002885,1
ds004019,1
ds004580,1
ds003944,4
ds004279,0
ds004532,0
ds004346,0
ds003816,1
ds004572,2
ds004696,1
ds004745,0
ds004460,0
ds004902,0
ds004075,0
ds004447,1
ds004295,1
ds003519,3
ds004107,0
ds004952,1
ds003458,0
ds004502,3
ds002724,2
ds003004,7
ds003104,0
ds004200,1
ds002791,0
ds004015,2
ds004262,1
ds004850,0
ds002712,1
ds004520,3
ds004444,1
ds002723,2
ds004017,1
ds004595,1
ds004626,1
ds003751,6
ds004475,1
ds000246,1
ds005034,1
ds004515,4
ds004563,1
ds003421,1
ds002158,1
ds004951,1
ds004883,0
ds004483,2
ds002680,5
ds004624,0
ds004802,1
ds004993,0
ds004278,0
ds004816,0
ds003739,4
ds003774,6
ds003194,2
ds004356,2
ds004367,0
ds004123,0
ds004369,1
ds004381,1
ds003805,3
ds004196,1
ds002338,10
ds004022,1
ds003838,4
ds004579,1
ds004859,0
ds004603,1
ds004752,0
ds003768,13
ds003947,5
ds004229,0
ds004844,0
ds004998,0
ds004843,0
ds004040,1
ds004477,0
ds001785,1
ds003766,1
ds004276,2
ds004152,1
ds004944,0
ds001971,2
ds002718,9
ds003352,4
ds003626,6
ds002691,1
ds003690,4
ds002814,4
ds003645,2
ds005007,0
ds004551,3
ds001784,1
ds004809,0
ds003922,1
ds003810,2
ds004306,1
ds004642,1
ds003478,11
ds004100,4
ds003969,3
ds004000,4
ds004842,0
ds003061,4
ds004995,0
ds004854,0
ds003638,1
ds004521,3
ds002761,1
ds001849,1
ds003844,0
ds003039,2
ds004706,2
ds004252,1
ds004448,1
ds003602,0
ds003380,2
ds004018,0
ds004080,1
ds004324,0
ds003887,3
ds003775,3
ds004789,0
ds004106,0
ds004860,1
ds004837,0
ds003688,2
ds002721,11
ds003655,3
ds004395,1
ds004147,2
ds003483,2
ds003555,8
ds002778,29
ds004661,0
ds003885,2
ds004657,1
ds003498,3
ds003522,1
ds003710,1
ds003343,1
ds003708,0
ds002001,3
ds004067,1
ds003078,1
ds003801,1
ds002578,1
ds003029,14
ds001810,6
ds003620,3
ds004660,1
